"Category","Prompt","Tags","Country","Locale"
"Engineering Memory","What is engineering memory and why do teams need it?","engineering-memory,concepts,teams","United States","en-US"
"Engineering Memory","How do I make my engineering team's history searchable?","engineering-memory,search,teams","United States","en-US"
"Engineering Memory","Best tools for remembering engineering decisions and context","engineering-memory,decisions,context","United States","en-US"
"Engineering Memory","Memory system vs knowledge base for engineering teams","engineering-memory,knowledge-base,comparison","United States","en-US"
"Engineering Memory","How to capture and search engineering context across code, deployments, and incidents","engineering-memory,code,incidents","United States","en-US"
"Code & Changes","How do I search across pull requests, commits, and code reviews?","code,pull-requests,search","United States","en-US"
"Code & Changes","Best way to find why a code change was made months ago","code,decisions,history","United States","en-US"
"Code & Changes","Tools to search GitHub discussions and PR comments by meaning","github,semantic-search,code","United States","en-US"
"Code & Changes","How to trace the history of a feature through commits and PRs","code,history,traceability","United States","en-US"
"Code & Changes","Search code reviews and discussions without remembering exact keywords","code-reviews,semantic-search,engineering","United States","en-US"
"Incidents & Errors","How do I search past incidents and post-mortems?","incidents,postmortems,search","United States","en-US"
"Incidents & Errors","Best tools for answering 'what broke?' across my engineering systems","incidents,debugging,engineering","United States","en-US"
"Incidents & Errors","How to find similar past incidents when debugging a new issue","incidents,debugging,similarity","United States","en-US"
"Incidents & Errors","Tools to search Sentry errors and PagerDuty incidents together","sentry,pagerduty,integrations","United States","en-US"
"Incidents & Errors","How do I build searchable incident timelines for SRE teams?","incidents,sre,timelines","United States","en-US"
"Incidents & Errors","Best way to capture incident resolutions so we don't repeat mistakes","incidents,resolutions,learning","United States","en-US"
"Deployments & Infrastructure","How do I search deployment history and environment changes?","deployments,infrastructure,search","United States","en-US"
"Deployments & Infrastructure","Tools to track what changed between deployments","deployments,changes,tracking","United States","en-US"
"Deployments & Infrastructure","How to find which deployment caused a production issue","deployments,debugging,incidents","United States","en-US"
"Deployments & Infrastructure","Search build logs and deployment events by meaning","deployments,logs,semantic-search","United States","en-US"
"Ownership & People","How do I find who owns a service or feature in my codebase?","ownership,services,engineering","United States","en-US"
"Ownership & People","Best tools for answering 'who has context on this?'","ownership,context,engineering","United States","en-US"
"Ownership & People","How to track code ownership across a large engineering org","ownership,code,organization","United States","en-US"
"Ownership & People","Tools that show who worked on what without pinging people","ownership,history,productivity","United States","en-US"
"Ownership & People","How do I find the right person to ask about a legacy system?","ownership,legacy,engineering","United States","en-US"
"Decisions & Context","How do I find why a technical decision was made?","decisions,context,engineering","United States","en-US"
"Decisions & Context","Best way to capture engineering decisions as they happen","decisions,documentation,automation","United States","en-US"
"Decisions & Context","How to make ADRs and decision records searchable","decisions,adrs,search","United States","en-US"
"Decisions & Context","Tools to answer 'why did we choose this architecture?'","decisions,architecture,context","United States","en-US"
"Decisions & Context","How to give new engineers context on old decisions","decisions,onboarding,context","United States","en-US"
"Decisions & Context","Search Slack and GitHub together to find decision rationale","decisions,slack,github","United States","en-US"
"Semantic Search","What is semantic search for engineering documentation?","semantic-search,documentation,concepts","United States","en-US"
"Semantic Search","How does search by meaning work for code and docs?","semantic-search,code,documentation","United States","en-US"
"Semantic Search","Best tools for searching engineering knowledge by intent not keywords","semantic-search,intent,engineering","United States","en-US"
"Semantic Search","How to search across code, PRs, and docs in one query","semantic-search,unified,engineering","United States","en-US"
"Semantic Search","Alternatives to keyword search for engineering documentation","semantic-search,alternatives,documentation","United States","en-US"
"AI Agents & MCP","How do I give AI agents memory about my engineering systems?","agents,memory,engineering","United States","en-US"
"AI Agents & MCP","MCP tools for engineering memory and search","mcp,agents,engineering","United States","en-US"
"AI Agents & MCP","Best way to connect Claude or ChatGPT to my codebase history","agents,codebase,integrations","United States","en-US"
"AI Agents & MCP","How to stop AI agents from hallucinating about our systems","agents,hallucinations,accuracy","United States","en-US"
"AI Agents & MCP","Tools that give AI agents accurate answers with citations","agents,citations,accuracy","United States","en-US"
"AI Agents & MCP","How do I let agents search my engineering memory safely?","agents,security,engineering","United States","en-US"
"AI Agents & MCP","Best architecture for agents that need engineering context","agents,architecture,engineering","United States","en-US"
"API & Integration","Simple API for engineering memory and search","api,engineering,search","United States","en-US"
"API & Integration","How to integrate engineering memory in minutes not weeks","api,integration,developer-experience","United States","en-US"
"API & Integration","REST API vs MCP tools for engineering search","api,mcp,comparison","United States","en-US"
"API & Integration","Best API for semantic search over code and engineering docs","api,semantic-search,engineering","United States","en-US"
"API & Integration","How to get AI answers with citations from my engineering data","api,answers,citations","United States","en-US"
"Citations & Trust","Why do AI answers need citations for engineering teams?","citations,trust,engineering","United States","en-US"
"Citations & Trust","Tools that always show sources for engineering answers","citations,sources,engineering","United States","en-US"
"Citations & Trust","How to verify AI answers against original engineering docs","citations,verification,accuracy","United States","en-US"
"Citations & Trust","Best practices for trustworthy AI in engineering workflows","trust,ai,engineering","United States","en-US"
"Citations & Trust","How do I measure answer accuracy for engineering questions?","citations,accuracy,metrics","United States","en-US"
"Onboarding & Productivity","How to onboard engineers faster with searchable history","onboarding,engineering,productivity","United States","en-US"
"Onboarding & Productivity","Reduce time engineers spend searching for context","productivity,search,engineering","United States","en-US"
"Onboarding & Productivity","How to get new engineers up to speed on a complex codebase","onboarding,codebase,engineering","United States","en-US"
"Onboarding & Productivity","Best tools for reducing duplicate questions in engineering Slack","productivity,slack,engineering","United States","en-US"
"Onboarding & Productivity","How do I make tribal knowledge accessible to all engineers?","tribal-knowledge,engineering,accessibility","United States","en-US"
"Security & Privacy","How to keep engineering memory secure and compliant","security,compliance,engineering","United States","en-US"
"Security & Privacy","Best practices for AI access to engineering data","security,ai,engineering","United States","en-US"
"Security & Privacy","How do I control which data AI agents can access?","security,agents,access-control","United States","en-US"
"Security & Privacy","Tenant isolation for engineering memory systems","security,multi-tenancy,engineering","United States","en-US"
"Build vs Buy","Should I build my own RAG stack or use an engineering memory platform?","build-vs-buy,rag,engineering","United States","en-US"
"Build vs Buy","Alternatives to maintaining my own vector database for engineering search","build-vs-buy,vector-database,engineering","United States","en-US"
"Build vs Buy","How much does it cost to build engineering memory in-house?","build-vs-buy,cost,engineering","United States","en-US"
"Build vs Buy","What to look for in an engineering memory platform","build-vs-buy,evaluation,engineering","United States","en-US"
